# Authored selection seed (candidate). One row per catalog item. Separator: '|'. Lines starting with '#' are comments.
# Columns: it_id|file|name_ru|name_en|cat|subcat|group|materials|technique|size|unit|mass|functions|owners|value|carry|marks|text_slot|master|v5|container|wk|bib|conf|note
# cat: v5 object code (cat_item_object_<cat>_v1) or proposed new code. mass: blank = v5 template mass; a:<v5 tpl> = mass of analogous v5 template; b = size-band default (policy). conf blank = derived from master/v5 evidence.
# marks: own=owner sign, mk=maker mark/stamp, orn=ornament, rep=repair, wear=wear, dmg=damage, ins=inscription slot (text only from pool). 'none' = typical item without distinguishing marks.
it_id|file|name_ru|name_en|cat|subcat|group|materials|technique|size|unit|mass|functions|owners|value|carry|marks|text_slot|master|v5|container|wk|bib|conf|note
it_hh_towel|household|Льняное утиральное полотно|linen towel|towel_linen|bathing|HH_BEDDING_TEXTILE|linen|woven|small|piece|b|drying;wiping|household_member|ordinary|not_carried|own;orn;rep;wear|none|OMI01866|||claim:clothing-linen;claim:material-water-new-linen-water|SRC045|C|Полотенце как отдельный тип выводится из master OMI01866 (ткань для вытирания); вышитое полотенце — поздний образ, не предполагать.
it_hh_wool_blanket|household|Шерстяное покрывало|wool blanket|blanket_wool|bedding|HH_BEDDING_TEXTILE|wool|woven|medium|piece|b|covering_sleeper|household_member|valued|not_carried|own;orn;rep;wear;dmg|none|INT0021;MIL0023|||claim:clothing-wool|SRC008||
it_hh_curtain|household|Тканевая или войлочная завеса|cloth or felt curtain|curtain|bedding|HH_BEDDING_TEXTILE|wool;felt;linen|woven_or_sewn|medium|piece|b|screening;warmth|household_member|ordinary|not_carried|rep;wear;dmg|none|INT0018|||claim:population-felt-lining|SRC008|C|Master INT0018 = C.
it_hh_straw_mat|household|Соломенный или травяной мат для сна|straw sleeping mat|straw_mat|bedding|HH_BEDDING_TEXTILE|straw;grass|woven;bound|medium|piece|b|sleeping;sitting|household_member|trifle|not_carried|wear;dmg|none|INT0016;MSC0001|||claim:reality-batch-01-dried-herbs-need-dry-protected-storage|SRC045|C|Master INT0016 = C.
it_hh_swaddling_cloth|household|Пелёночная ткань|swaddling cloth|swaddling_cloth|bedding|HH_BEDDING_TEXTILE|linen;wool|woven|small|piece|b|swaddling|woman_of_household|trifle|not_carried|wear;rep|none|OMI01923;OMI01865|||claim:clothing-linen|SRC045||
it_hh_cradle_pad|household|Мягкая подкладка колыбели|cradle pad|cradle_pad|bedding|HH_BEDDING_TEXTILE|wool;linen;hay|sewn|small|piece|b|padding_cradle|woman_of_household|trifle|not_carried|wear|none|OMI01924|||claim:clothing-wool|SRC045||
it_hh_bark_box|household|Берестяной короб|birch-bark box|birch_bark_box|small_storage|HH_SMALL_STORAGE|birch_bark;wood|folded_sewn_bark|medium|piece|b|storing;carrying|household_member|trifle|bag;hand|own;orn;rep;wear;dmg|none|HOU0021||birch_bark_box|claim:household-bark-tues|SRC005||
it_hh_small_box|household|Небольшая деревянная коробочка|small wooden box|wooden_box|small_storage|HH_SMALL_STORAGE|wood|carved;plank_joined|small|piece|b|keeping_small_items|household_member|trifle|bag|own;orn;rep;wear;dmg|TXT_WOOD_OWNER_POSSESSIVE|HOU0043;OMI01885;OMI01886||wooden_box|claim:household-utensil-wood|SRC005||
it_hh_small_casket|household|Малый ларец|small casket|small_casket|small_storage|HH_SMALL_STORAGE|wood;iron|plank_joined;iron_fittings_optional;lid_or_hinged_cover|hand|piece|b|keeping_valuables;keeping_documents|household_member;trader;elite|valued|not_carried|own;orn;rep;wear;dmg|none|FUR0024;OMI00645;OMI00667||small_casket|claim:household-furniture-wood|SRC005||
it_hh_cloth_sack|household|Тканевый мешок|cloth sack|sack|small_storage|HH_SMALL_STORAGE|linen;hemp|woven;sewn|small|piece|b|storing_grain;carrying|household_member;trader|trifle|hand|own;rep;wear;dmg|none|HOU0015;MSC0042||sack|claim:clothing-hemp;claim:trade-economy-batch-03-packaging-material-and-closure-affect-handling-conditionally|SRC045||
it_hh_basket|household|Плетёная корзина|woven basket|carrying_basket|small_storage|HH_SMALL_STORAGE|willow_or_roots;bast;reed_or_splint|woven|medium|piece|b|carrying;storing|household_member|trifle|hand;back|rep;wear;dmg|none|HOU0016||carrying_basket|claim:trade-economy-batch-03-packaging-shape-and-opening-constrain-what-can-pass-through|SRC045||
it_hh_bark_case|household|Берестяной чехол|birch-bark case|bark_case|small_storage|HH_SMALL_STORAGE|birch_bark|folded_sewn_bark|small|piece|b|covering;protecting_tool|household_member|trifle|belt;bag|wear;dmg|none|HOU0023|||claim:household-bark-tues|SRC005||
it_hh_bark_bundle|household|Берестяной свёрток с мелкими вещами|birch-bark bundle of small items|bark_bundle|small_storage|HH_SMALL_STORAGE|birch_bark|wrapped|tiny|piece|b|keeping_small_items|household_member;traveller|trifle|bag|none|none|OMI01887|||claim:household-bark-tues|SRC005||
it_hh_cloth_bundle|household|Тканевый узелок с мелочами|cloth bundle of small items|cloth_bundle|small_storage|HH_SMALL_STORAGE|linen;textile|wrapped;knotted|tiny|piece|b|keeping_small_items|household_member;traveller|trifle|bag;hand|none|none|OMI01888|||claim:clothing-linen|SRC045||
it_hh_padlock_cylinder|household|Навесной цилиндрический замок|cylindrical padlock|lock|locks_keys|HH_LOCKS|iron;copper_alloy|assembled;forged;brazed|hand|piece||locking_chest;locking_door|household_member;trader|valued|not_carried|mk;orn;rep;wear;dmg|none|TRD0029;TRD0057;OMI00653;OMI00654;OMI00655|lock||claim:population-material-iron-rust|SRC032;BIB_LOCKS||Типы навесных замков XII–XIII вв. (цилиндрические), часть с медной пайкой/обкладкой — BIB_LOCKS.
it_hh_door_lock|household|Железный дверной замок|iron door lock|lock|locks_keys|HH_LOCKS|iron|assembled;forged|hand|piece||locking_door|household_member|valued|not_carried|mk;rep;wear;dmg|none|HOU0002;OMI00651;OMI00652;OMI00656;OMI00657|lock||claim:population-material-iron-rust|SRC032;BIB_LOCKS||
it_hh_chest_lock|household|Накладной замок сундука|chest lock|lock|locks_keys|HH_LOCKS|iron|assembled;forged|hand|piece||locking_chest|household_member;trader|valued|not_carried|mk;rep;wear;dmg|none|TRD0057;OMI00665;OMI00671;OMI00672|lock||claim:population-material-iron-rust|SRC032;BIB_LOCKS||
it_hh_wooden_lock|household|Деревянный врезной замок с железным ключом|wooden mortise lock with iron key|wooden_lock|locks_keys|HH_LOCKS|wood;iron|carved;assembled|medium|piece|b|locking_door;locking_storehouse|household_member|ordinary|not_carried|rep;wear;dmg|none||||claim:household-furniture-wood|BIB_LOCKS;SRC005|B|Деревянные замки с металлическим ключом X — начала XIII в. по сводке типологии (BIB_LOCKS); к 1230 г. — поздний хвост бытования.
it_hh_key|household|Железный ключ|iron key|key|locks_keys|HH_LOCKS|iron|forged|small|piece||opening_lock|household_member;trader|ordinary|belt;cord|orn;wear;dmg;own|none|HOU0003;OMI00660;OMI00662;OMI00663;OMI00664|key||claim:population-material-iron-rust|SRC032;BIB_LOCKS||
