ref,kind,title,url,trust
wk:claim:low-temperature-reduces-many-microbial-metabolic-rates,wk,WK production-v1 approved claim,,approved (WK)
wk:claim:maslo-birchbark-718-account,wk,WK production-v1 approved claim,,approved (WK)
wk:claim:mb14-practical-milk-in-heat-needs-cooler-place-and-prompt-use,wk,WK production-v1 approved claim,,approved (WK)
wk:claim:microbial-growth-depends-on-available-moisture,wk,WK production-v1 approved claim,,approved (WK)
wk:claim:occupation-directed-grain-procurement,wk,WK production-v1 approved claim,,approved (WK)
wk:claim:place-fish-smoking-preservation-depends-on-combined-smoke-drying-heat-and-optional-salt,wk,WK production-v1 approved claim,,approved (WK)
wk:claim:place-milk-fresh-curd-can-progressively-separate-from-whey,wk,WK production-v1 approved claim,,approved (WK)
wk:claim:place-salt-moisture-at-particle-contacts-can-cake-through-dissolution-and-recrystallization,wk,WK production-v1 approved claim,,approved (WK)
wk:claim:place-thermal-ovin-can-relate-a-furnace-to-sheaves-held-on-grates,wk,WK production-v1 approved claim,,approved (WK)
wk:claim:population-fish-dried-form,wk,WK production-v1 approved claim,,approved (WK)
wk:claim:population-fish-food,wk,WK production-v1 approved claim,,approved (WK)
wk:claim:population-processes-malt-context,wk,WK production-v1 approved claim,,approved (WK)
wk:claim:population-processes-oven-baking,wk,WK production-v1 approved claim,,approved (WK)
wk:claim:reality-first-rural-subsistence-storage-and-animal-yard-compete-for-labour-r1,wk,WK production-v1 approved claim,,approved (WK)
wk:claim:regional-fish-exploitation,wk,WK production-v1 approved claim,,approved (WK)
wk:claim:research-cooling-or-freezing-does-not-by-itself-guarantee-microorganism-destruction,wk,WK production-v1 approved claim,,approved (WK)
wk:claim:research-enclosing-food-and-sealing-openings-can-reduce-rodent-access,wk,WK production-v1 approved claim,,approved (WK)
wk:claim:research-exposed-fish-drying-depends-on-sun-heat-air-movement-and-invites-pests,wk,WK production-v1 approved claim,,approved (WK)
wk:claim:research-fish-salting-moves-water-out-and-salt-in-and-its-effect-depends-on-distribution,wk,WK production-v1 approved claim,,approved (WK)
wk:claim:research-heating-fish-denatures-proteins-reduces-water-binding-and-firms-flesh,wk,WK production-v1 approved claim,,approved (WK)
wk:claim:research-raw-animal-food-pathogens-can-transfer-to-other-food-via-contact-surfaces,wk,WK production-v1 approved claim,,approved (WK)
wk:claim:research-rodents-are-drawn-to-available-food-water-and-nesting-sites,wk,WK production-v1 approved claim,,approved (WK)
wk:claim:research-starch-gelatinization-can-thicken-an-aqueous-mixture,wk,WK production-v1 approved claim,,approved (WK)
wk:claim:research-vegetable-fermentation-submersion-salt-and-temperature-shape-course,wk,WK production-v1 approved claim,,approved (WK)
wk:claim:social-podvoisky-letter-reports-pochestie-assurance,wk,WK production-v1 approved claim,,approved (WK)
wk:claim:solute-concentration-reduces-available-water-for-many-microbes,wk,WK production-v1 approved claim,,approved (WK)
wk:claim:trade-economy-selected-seed-grain-can-be-reserved-and-protected-separately-without-choosing-household-use,wk,WK production-v1 approved claim,,approved (WK)
wk:claim:troitsky-bilberry-incidence-indicates-northern-heath-clearing-exploitation,wk,WK production-v1 approved claim,,approved (WK)
wk:claim:troitsky-gathered-plants-probably-link-to-southern-deciduous-woodland,wk,WK production-v1 approved claim,,approved (WK)
wk:claim:yeast-can-convert-sugars-to-ethanol-under-low-oxygen,wk,WK production-v1 approved claim,,approved (WK)
