table_name,column_name,data_type,nullable,key,references,check_or_enum,purpose,source_basis
party_player_characters,memory_state,JSONB,no,,,DEFAULT {},Personal memory and obligations.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_player_characters,visible_description,TEXT,yes,,,,Player-facing description of self state.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_player_characters,hidden_state,JSONB,no,,,DEFAULT {},Hidden personal facts only if character does not know/should not see.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_player_characters,created_by_llm_step,TEXT,yes,,,logical FK to party_llm_steps(id),LLM generation provenance.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_player_characters,created_at_game_time,TEXT,yes,,,,Game-time stamp as text/ordinal.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_player_characters,updated_at_game_time,TEXT,yes,,,,Game-time stamp as text/ordinal.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_graph_nodes,id,TEXT,no,PK,,,Stable technical identifier; code may use deterministic IDs or generated IDs.,technical key
party_graph_nodes,party_id,TEXT,no,FK,party_state(id),,Party scope; every mutable row belongs to one saved party.,party DB separation
party_graph_nodes,created_at,TIMESTAMPTZ,no,,,DEFAULT now(),"Real system timestamp for audit, not game time.",technical audit
party_graph_nodes,updated_at,TIMESTAMPTZ,no,,,DEFAULT now(),"Real system timestamp for audit, not game time.",technical audit
party_graph_nodes,canonical_node_id,TEXT,yes,,,logical FK to world_base.graph_nodes(id),"Read-only canonical node ID, if this materializes a canonical node.",read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_graph_nodes,slug,TEXT,yes,,,,Party-local slug.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_graph_nodes,title,TEXT,yes,,,,Human title.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_graph_nodes,node_type,TEXT,no,,,node_type,Graph node type.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_graph_nodes,scale_level,TEXT,no,,,scale_level,G0-G5 scale.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_graph_nodes,parent_node_id,TEXT,yes,FK,party_graph_nodes(id),,Parent party node.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_graph_nodes,region_id,TEXT,no,,,logical FK to world_base.regions(id),Region ID.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_graph_nodes,place_id,TEXT,yes,,,logical FK to party_places(id),Associated party place if applicable.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_graph_nodes,is_materialized,BOOLEAN,no,,,DEFAULT false,Whether node is concretely present in party state.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_graph_nodes,is_known_to_character,BOOLEAN,no,,,DEFAULT false,Character knowledge layer.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_graph_nodes,is_known_to_player,BOOLEAN,no,,,DEFAULT false,Player UI knowledge layer.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_graph_nodes,visible_name,TEXT,yes,,,,Name as known/seen by character.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_graph_nodes,hidden_state,JSONB,no,,,DEFAULT {},Hidden facts for simulation.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_graph_nodes,current_state,JSONB,no,,,DEFAULT {},Mutable state of node.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_graph_nodes,created_by_llm_step,TEXT,yes,,,logical FK to party_llm_steps(id),LLM provenance.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_graph_nodes,created_at_game_time,TEXT,yes,,,,Game-time stamp.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_graph_nodes,updated_at_game_time,TEXT,yes,,,,Game-time stamp.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_graph_edges,id,TEXT,no,PK,,,Stable technical identifier; code may use deterministic IDs or generated IDs.,technical key
party_graph_edges,party_id,TEXT,no,FK,party_state(id),,Party scope; every mutable row belongs to one saved party.,party DB separation
party_graph_edges,created_at,TIMESTAMPTZ,no,,,DEFAULT now(),"Real system timestamp for audit, not game time.",technical audit
party_graph_edges,updated_at,TIMESTAMPTZ,no,,,DEFAULT now(),"Real system timestamp for audit, not game time.",technical audit
party_graph_edges,canonical_edge_id,TEXT,yes,,,logical FK to world_base.graph_edges(id),Canonical edge if copied from read-only graph.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_graph_edges,from_party_node_id,TEXT,no,FK,party_graph_nodes(id),,Start node.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_graph_edges,to_party_node_id,TEXT,no,FK,party_graph_nodes(id),,End node.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_graph_edges,reverse_party_edge_id,TEXT,yes,FK,party_graph_edges(id),,Reverse edge if bidirectional.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_graph_edges,scale_level,TEXT,no,,,scale_level,G0-G5 scale.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_graph_edges,edge_type,TEXT,no,,,edge_type,Physical route/link type.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_graph_edges,base_gu,NUMERIC,yes,,,,Base GU from canonical edge/materialization.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_graph_edges,current_time_minutes,NUMERIC,yes,,,,Current traversal time in minutes.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_graph_edges,current_time_hours,NUMERIC,yes,,,,Current traversal time in hours.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_graph_edges,current_access,TEXT,yes,,,,Current access state.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_graph_edges,current_conditions,JSONB,no,,,DEFAULT {},Weather/season/load/road conditions.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_graph_edges,current_risk,TEXT,yes,,,,Current risk label.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_graph_edges,current_seasonal_state,TEXT,yes,,,,Seasonal availability.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_graph_edges,is_known_to_character,BOOLEAN,no,,,DEFAULT false,Knowledge layer.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_graph_edges,is_known_to_player,BOOLEAN,no,,,DEFAULT false,UI layer.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_graph_edges,is_blocked,BOOLEAN,no,,,DEFAULT false,Route blocked in this party.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_graph_edges,block_reason,TEXT,yes,,,,"Reason route is blocked, if known/hidden in current_state.",read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_graph_edges,last_used_at_game_time,TEXT,yes,,,,Last traversal game time.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_graph_edges,created_by_llm_step,TEXT,yes,,,logical FK to party_llm_steps(id),LLM provenance.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_graph_edges,updated_at_game_time,TEXT,yes,,,,Game-time stamp.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_places,id,TEXT,no,PK,,,Stable technical identifier; code may use deterministic IDs or generated IDs.,technical key
party_places,party_id,TEXT,no,FK,party_state(id),,Party scope; every mutable row belongs to one saved party.,party DB separation
party_places,created_at,TIMESTAMPTZ,no,,,DEFAULT now(),"Real system timestamp for audit, not game time.",technical audit
party_places,updated_at,TIMESTAMPTZ,no,,,DEFAULT now(),"Real system timestamp for audit, not game time.",technical audit
party_places,canonical_place_id,TEXT,yes,,,logical FK to world_base.places(id),Canonical place if known.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_places,canonical_node_id,TEXT,yes,,,logical FK to world_base.graph_nodes(id),Canonical graph node if known.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_places,region_id,TEXT,no,,,logical FK to world_base.regions(id),Region.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_places,template_id,TEXT,yes,,,logical FK to world_base.place_templates(id),Place type template.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_places,title,TEXT,yes,,,,Party title.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_places,place_type,TEXT,yes,,,,Place type label.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_places,historical_status,TEXT,yes,,,,Historical/fictive status.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_places,materialized_from_node_id,TEXT,yes,FK,party_graph_nodes(id),,Graph node source.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_places,visible_description,TEXT,yes,,,,Description available to character/player.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_places,hidden_state,JSONB,no,,,DEFAULT {},Hidden place state.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_places,current_state,JSONB,no,,,DEFAULT {},Mutable visible and factual state.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_places,access_state,JSONB,no,,,DEFAULT {},"Doors, gates, rights, restrictions.",read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_places,owner_controller_state,JSONB,no,,,DEFAULT {},Ownership/control facts.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_places,created_by_llm_step,TEXT,yes,,,logical FK to party_llm_steps(id),LLM provenance.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_places,created_at_game_time,TEXT,yes,,,,Game-time stamp.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_places,updated_at_game_time,TEXT,yes,,,,Game-time stamp.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_locations,id,TEXT,no,PK,,,Stable technical identifier; code may use deterministic IDs or generated IDs.,technical key
party_locations,party_id,TEXT,no,FK,party_state(id),,Party scope; every mutable row belongs to one saved party.,party DB separation
party_locations,created_at,TIMESTAMPTZ,no,,,DEFAULT now(),"Real system timestamp for audit, not game time.",technical audit
party_locations,updated_at,TIMESTAMPTZ,no,,,DEFAULT now(),"Real system timestamp for audit, not game time.",technical audit
party_minilocations,id,TEXT,no,PK,,,Stable technical identifier; code may use deterministic IDs or generated IDs.,technical key
party_minilocations,party_id,TEXT,no,FK,party_state(id),,Party scope; every mutable row belongs to one saved party.,party DB separation
party_minilocations,created_at,TIMESTAMPTZ,no,,,DEFAULT now(),"Real system timestamp for audit, not game time.",technical audit
party_minilocations,updated_at,TIMESTAMPTZ,no,,,DEFAULT now(),"Real system timestamp for audit, not game time.",technical audit
party_scene_anchors,id,TEXT,no,PK,,,Stable technical identifier; code may use deterministic IDs or generated IDs.,technical key
party_scene_anchors,party_id,TEXT,no,FK,party_state(id),,Party scope; every mutable row belongs to one saved party.,party DB separation
party_scene_anchors,created_at,TIMESTAMPTZ,no,,,DEFAULT now(),"Real system timestamp for audit, not game time.",technical audit
party_scene_anchors,updated_at,TIMESTAMPTZ,no,,,DEFAULT now(),"Real system timestamp for audit, not game time.",technical audit
party_locations,place_id,TEXT,no,FK,party_places(id),,Parent place.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_locations,canonical_location_id,TEXT,yes,,,logical FK to world_base.graph_nodes(id),Canonical location if any.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_locations,title,TEXT,yes,,,,Title.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_locations,location_type,TEXT,yes,,,,Location type.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_locations,visible_description,TEXT,yes,,,,Visible description.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_locations,access_state,JSONB,no,,,DEFAULT {},Access and public/private rules.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_locations,visibility_state,JSONB,no,,,DEFAULT {},What can be seen/heard.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_locations,current_state,JSONB,no,,,DEFAULT {},Mutable state.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_locations,hidden_state,JSONB,no,,,DEFAULT {},Hidden state.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_locations,created_by_llm_step,TEXT,yes,,,logical FK to party_llm_steps(id),LLM provenance.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_locations,created_at_game_time,TEXT,yes,,,,Game-time stamp.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_locations,updated_at_game_time,TEXT,yes,,,,Game-time stamp.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_minilocations,place_id,TEXT,no,FK,party_places(id),,Parent place.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_minilocations,location_id,TEXT,no,FK,party_locations(id),,Parent location.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_minilocations,canonical_minilocation_id,TEXT,yes,,,logical FK to world_base.graph_nodes(id),Canonical minilocation if any.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_minilocations,title,TEXT,yes,,,,Title.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_minilocations,minilocation_type,TEXT,yes,,,,Minilocation type.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_minilocations,visible_description,TEXT,yes,,,,Visible description.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_minilocations,position_state,JSONB,no,,,DEFAULT {},Relative position/cover/noise/light.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_minilocations,current_state,JSONB,no,,,DEFAULT {},Mutable state.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_minilocations,hidden_state,JSONB,no,,,DEFAULT {},Hidden state.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_minilocations,created_by_llm_step,TEXT,yes,,,logical FK to party_llm_steps(id),LLM provenance.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_minilocations,created_at_game_time,TEXT,yes,,,,Game-time stamp.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_minilocations,updated_at_game_time,TEXT,yes,,,,Game-time stamp.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_scene_anchors,place_id,TEXT,no,FK,party_places(id),,Parent place.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_scene_anchors,location_id,TEXT,no,FK,party_locations(id),,Parent location.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_scene_anchors,minilocation_id,TEXT,no,FK,party_minilocations(id),,Parent minilocation.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_scene_anchors,canonical_anchor_id,TEXT,yes,,,logical FK to world_base.graph_nodes(id),Canonical anchor if any.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_scene_anchors,title,TEXT,yes,,,,Title.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_scene_anchors,anchor_type,TEXT,yes,,,,Anchor type.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_scene_anchors,visible_description,TEXT,yes,,,,Visible description.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_scene_anchors,physical_state,JSONB,no,,,DEFAULT {},"Condition, mobility, obstacle/container/passage flags.",read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_scene_anchors,access_state,JSONB,no,,,DEFAULT {},Access/control.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_scene_anchors,ownership_state,JSONB,no,,,DEFAULT {},Owner/controller if relevant.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_scene_anchors,current_state,JSONB,no,,,DEFAULT {},Mutable state.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_scene_anchors,hidden_state,JSONB,no,,,DEFAULT {},Hidden state.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_scene_anchors,created_by_llm_step,TEXT,yes,,,logical FK to party_llm_steps(id),LLM provenance.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_scene_anchors,created_at_game_time,TEXT,yes,,,,Game-time stamp.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_scene_anchors,updated_at_game_time,TEXT,yes,,,,Game-time stamp.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_current_position,id,TEXT,no,PK,,,Stable technical identifier; code may use deterministic IDs or generated IDs.,technical key
party_current_position,party_id,TEXT,no,FK,party_state(id),,Party scope; every mutable row belongs to one saved party.,party DB separation
party_current_position,created_at,TIMESTAMPTZ,no,,,DEFAULT now(),"Real system timestamp for audit, not game time.",technical audit
party_current_position,updated_at,TIMESTAMPTZ,no,,,DEFAULT now(),"Real system timestamp for audit, not game time.",technical audit
party_current_position,character_id,TEXT,no,FK,party_player_characters(id),,Whose current position; MVP usually player character.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_current_position,region_id,TEXT,no,,,logical FK to world_base.regions(id),Current region.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_current_position,place_id,TEXT,yes,FK,party_places(id),,Current place.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_current_position,location_id,TEXT,yes,FK,party_locations(id),,Current location.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_current_position,minilocation_id,TEXT,yes,FK,party_minilocations(id),,Current minilocation.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_current_position,anchor_id,TEXT,yes,FK,party_scene_anchors(id),,Current scene anchor.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_current_position,current_node_id,TEXT,yes,FK,party_graph_nodes(id),,Current graph node if mapped.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_current_position,last_route_id,TEXT,yes,FK,party_graph_edges(id),,Route used to arrive.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_current_position,position_visible_text,TEXT,yes,,,,Player-facing location phrase.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_current_position,updated_by_turn_id,TEXT,yes,,,logical FK to party_turns(id),Turn that updated position.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_current_position,game_day_index,INTEGER,no,,,CHECK >=0,Game day.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_current_position,game_minute_of_day,INTEGER,no,,,CHECK 0-1439,Time inside day.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_map_knowledge,id,TEXT,no,PK,,,Stable technical identifier; code may use deterministic IDs or generated IDs.,technical key
party_map_knowledge,party_id,TEXT,no,FK,party_state(id),,Party scope; every mutable row belongs to one saved party.,party DB separation
party_map_knowledge,created_at,TIMESTAMPTZ,no,,,DEFAULT now(),"Real system timestamp for audit, not game time.",technical audit
party_map_knowledge,updated_at,TIMESTAMPTZ,no,,,DEFAULT now(),"Real system timestamp for audit, not game time.",technical audit
party_map_knowledge,character_id,TEXT,no,FK,party_player_characters(id),,Whose knowledge.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_map_knowledge,node_id,TEXT,yes,FK,party_graph_nodes(id),,Known node.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_map_knowledge,edge_id,TEXT,yes,FK,party_graph_edges(id),,Known edge.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_map_knowledge,knowledge_type,TEXT,no,,,knowledge_type,Type of knowledge.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_map_knowledge,knowledge_accuracy,TEXT,no,,,knowledge_accuracy,Accuracy of knowledge.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
party_map_knowledge,source_of_knowledge,TEXT,yes,,,,How character learned it.,read_only_database_and_graph_architecture.md §14; world_generation_and_turns.txt; movement_locations_regions.txt
