src_id,citation,url_or_path,kind,collector_note,used
wp:Живородящая_ящерица,Википедия (ru): Живородящая ящерица,https://ru.wikipedia.org/wiki/%D0%96%D0%B8%D0%B2%D0%BE%D1%80%D0%BE%D0%B4%D1%8F%D1%89%D0%B0%D1%8F_%D1%8F%D1%89%D0%B5%D1%80%D0%B8%D1%86%D0%B0,encyclopedia,HTTP 200 при проверке 2026-09-26; только общая биология/ареал,true
wp:Индейка,Википедия (ru): Индейка,https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D0%B4%D0%B5%D0%B9%D0%BA%D0%B0,encyclopedia,HTTP 200 при проверке 2026-09-26; только общая биология/ареал,true
wp:Капустная_белянка,Википедия (ru): Капустная белянка,https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BF%D1%83%D1%81%D1%82%D0%BD%D0%B0%D1%8F_%D0%B1%D0%B5%D0%BB%D1%8F%D0%BD%D0%BA%D0%B0,encyclopedia,HTTP 200 при проверке 2026-09-26; только общая биология/ареал,true
wp:Комнатная_муха,Википедия (ru): Комнатная муха,https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D0%BC%D0%BD%D0%B0%D1%82%D0%BD%D0%B0%D1%8F_%D0%BC%D1%83%D1%85%D0%B0,encyclopedia,HTTP 200 при проверке 2026-09-26; только общая биология/ареал,true
wp:Короед-типограф,Википедия (ru): Короед-типограф,https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D1%80%D0%BE%D0%B5%D0%B4-%D1%82%D0%B8%D0%BF%D0%BE%D0%B3%D1%80%D0%B0%D1%84,encyclopedia,HTTP 200 при проверке 2026-09-26; только общая биология/ареал,true
wp:Крапивница_(бабочка),Википедия (ru): Крапивница (бабочка),https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D0%B0%D0%BF%D0%B8%D0%B2%D0%BD%D0%B8%D1%86%D0%B0_%28%D0%B1%D0%B0%D0%B1%D0%BE%D1%87%D0%BA%D0%B0%29,encyclopedia,HTTP 200 при проверке 2026-09-26; только общая биология/ареал,true
wp:Кролик,Википедия (ru): Кролик,https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D0%BE%D0%BB%D0%B8%D0%BA,encyclopedia,HTTP 200 при проверке 2026-09-26; только общая биология/ареал,true
wp:Лимонница,Википедия (ru): Лимонница,https://ru.wikipedia.org/wiki/%D0%9B%D0%B8%D0%BC%D0%BE%D0%BD%D0%BD%D0%B8%D1%86%D0%B0,encyclopedia,HTTP 200 при проверке 2026-09-26; только общая биология/ареал,true
wp:Ломкая_веретеница,Википедия (ru): Ломкая веретеница,https://ru.wikipedia.org/wiki/%D0%9B%D0%BE%D0%BC%D0%BA%D0%B0%D1%8F_%D0%B2%D0%B5%D1%80%D0%B5%D1%82%D0%B5%D0%BD%D0%B8%D1%86%D0%B0,encyclopedia,HTTP 200 при проверке 2026-09-26; только общая биология/ареал,true
wp:Майские_хрущи,Википедия (ru): Майские хрущи,https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%B9%D1%81%D0%BA%D0%B8%D0%B5_%D1%85%D1%80%D1%83%D1%89%D0%B8,encyclopedia,HTTP 200 при проверке 2026-09-26; только общая биология/ареал,true
wp:Мокрецы,Википедия (ru): Мокрецы,https://ru.wikipedia.org/wiki/%D0%9C%D0%BE%D0%BA%D1%80%D0%B5%D1%86%D1%8B,encyclopedia,HTTP 200 при проверке 2026-09-26; только общая биология/ареал,true
wp:Мошки,Википедия (ru): Мошки,https://ru.wikipedia.org/wiki/%D0%9C%D0%BE%D1%88%D0%BA%D0%B8,encyclopedia,HTTP 200 при проверке 2026-09-26; только общая биология/ареал,true
wp:Навозники,Википедия (ru): Навозники,https://ru.wikipedia.org/wiki/%D0%9D%D0%B0%D0%B2%D0%BE%D0%B7%D0%BD%D0%B8%D0%BA%D0%B8,encyclopedia,HTTP 200 при проверке 2026-09-26; только общая биология/ареал,true
wp:Настоящие_кузнечики,Википедия (ru): Настоящие кузнечики,https://ru.wikipedia.org/wiki/%D0%9D%D0%B0%D1%81%D1%82%D0%BE%D1%8F%D1%89%D0%B8%D0%B5_%D0%BA%D1%83%D0%B7%D0%BD%D0%B5%D1%87%D0%B8%D0%BA%D0%B8,encyclopedia,HTTP 200 при проверке 2026-09-26; только общая биология/ареал,true
wp:Обыкновенный_светляк,Википедия (ru): Обыкновенный светляк,https://ru.wikipedia.org/wiki/%D0%9E%D0%B1%D1%8B%D0%BA%D0%BD%D0%BE%D0%B2%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9_%D1%81%D0%B2%D0%B5%D1%82%D0%BB%D1%8F%D0%BA,encyclopedia,HTTP 200 при проверке 2026-09-26; только общая биология/ареал,true
wp:Обыкновенный_тритон,Википедия (ru): Обыкновенный тритон,https://ru.wikipedia.org/wiki/%D0%9E%D0%B1%D1%8B%D0%BA%D0%BD%D0%BE%D0%B2%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9_%D1%82%D1%80%D0%B8%D1%82%D0%BE%D0%BD,encyclopedia,HTTP 200 при проверке 2026-09-26; только общая биология/ареал,true
wp:Обыкновенный_уж,Википедия (ru): Обыкновенный уж,https://ru.wikipedia.org/wiki/%D0%9E%D0%B1%D1%8B%D0%BA%D0%BD%D0%BE%D0%B2%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9_%D1%83%D0%B6,encyclopedia,HTTP 200 при проверке 2026-09-26; только общая биология/ареал,true
wp:Осенняя_жигалка,Википедия (ru): Осенняя жигалка,https://ru.wikipedia.org/wiki/%D0%9E%D1%81%D0%B5%D0%BD%D0%BD%D1%8F%D1%8F_%D0%B6%D0%B8%D0%B3%D0%B0%D0%BB%D0%BA%D0%B0,encyclopedia,HTTP 200 при проверке 2026-09-26; только общая биология/ареал,true
wp:Остромордая_лягушка,Википедия (ru): Остромордая лягушка,https://ru.wikipedia.org/wiki/%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%BC%D0%BE%D1%80%D0%B4%D0%B0%D1%8F_%D0%BB%D1%8F%D0%B3%D1%83%D1%88%D0%BA%D0%B0,encyclopedia,HTTP 200 при проверке 2026-09-26; только общая биология/ареал,true
wp:Осы,Википедия (ru): Осы,https://ru.wikipedia.org/wiki/%D0%9E%D1%81%D1%8B,encyclopedia,HTTP 200 при проверке 2026-09-26; только общая биология/ареал,true
wp:Перловицы,Википедия (ru): Перловицы,https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D1%80%D0%BB%D0%BE%D0%B2%D0%B8%D1%86%D1%8B,encyclopedia,HTTP 200 при проверке 2026-09-26; только общая биология/ареал,true
wp:Пиявки,Википедия (ru): Пиявки,https://ru.wikipedia.org/wiki/%D0%9F%D0%B8%D1%8F%D0%B2%D0%BA%D0%B8,encyclopedia,HTTP 200 при проверке 2026-09-26; только общая биология/ареал,true
wp:Платяная_вошь,Википедия (ru): Платяная вошь,https://ru.wikipedia.org/wiki/%D0%9F%D0%BB%D0%B0%D1%82%D1%8F%D0%BD%D0%B0%D1%8F_%D0%B2%D0%BE%D1%88%D1%8C,encyclopedia,HTTP 200 при проверке 2026-09-26; только общая биология/ареал,true
wp:Подёнки,Википедия (ru): Подёнки,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%B4%D1%91%D0%BD%D0%BA%D0%B8,encyclopedia,HTTP 200 при проверке 2026-09-26; только общая биология/ареал,true
wp:Полевая_мышь,Википедия (ru): Полевая мышь,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BB%D0%B5%D0%B2%D0%B0%D1%8F_%D0%BC%D1%8B%D1%88%D1%8C,encyclopedia,HTTP 200 при проверке 2026-09-26; только общая биология/ареал,true
wp:Полёвки,Википедия (ru): Полёвки,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BB%D1%91%D0%B2%D0%BA%D0%B8,encyclopedia,HTTP 200 при проверке 2026-09-26; только общая биология/ареал,true
wp:Постельный_клоп,Википедия (ru): Постельный клоп,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D1%81%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9_%D0%BA%D0%BB%D0%BE%D0%BF,encyclopedia,HTTP 200 при проверке 2026-09-26; только общая биология/ареал,true
wp:Прудовая_лягушка,Википедия (ru): Прудовая лягушка,https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D1%8F_%D0%BB%D1%8F%D0%B3%D1%83%D1%88%D0%BA%D0%B0,encyclopedia,HTTP 200 при проверке 2026-09-26; только общая биология/ареал,true
wp:Прудовики,Википедия (ru): Прудовики,https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B8%D0%BA%D0%B8,encyclopedia,HTTP 200 при проверке 2026-09-26; только общая биология/ареал,true
wp:Рыжий_таракан,Википедия (ru): Рыжий таракан,https://ru.wikipedia.org/wiki/%D0%A0%D1%8B%D0%B6%D0%B8%D0%B9_%D1%82%D0%B0%D1%80%D0%B0%D0%BA%D0%B0%D0%BD,encyclopedia,HTTP 200 при проверке 2026-09-26; только общая биология/ареал,true
wp:Серая_крыса,Википедия (ru): Серая крыса,https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D1%80%D0%B0%D1%8F_%D0%BA%D1%80%D1%8B%D1%81%D0%B0,encyclopedia,HTTP 200 при проверке 2026-09-26; только общая биология/ареал,true
wp:Тли,Википедия (ru): Тли,https://ru.wikipedia.org/wiki/%D0%A2%D0%BB%D0%B8,encyclopedia,HTTP 200 при проверке 2026-09-26; только общая биология/ареал,true
wp:Цесарки,Википедия (ru): Цесарки,https://ru.wikipedia.org/wiki/%D0%A6%D0%B5%D1%81%D0%B0%D1%80%D0%BA%D0%B8,encyclopedia,HTTP 200 при проверке 2026-09-26; только общая биология/ареал,true
wp:Человеческая_блоха,Википедия (ru): Человеческая блоха,https://ru.wikipedia.org/wiki/%D0%A7%D0%B5%D0%BB%D0%BE%D0%B2%D0%B5%D1%87%D0%B5%D1%81%D0%BA%D0%B0%D1%8F_%D0%B1%D0%BB%D0%BE%D1%85%D0%B0,encyclopedia,HTTP 200 при проверке 2026-09-26; только общая биология/ареал,true
wp:Чёрная_крыса,Википедия (ru): Чёрная крыса,https://ru.wikipedia.org/wiki/%D0%A7%D1%91%D1%80%D0%BD%D0%B0%D1%8F_%D0%BA%D1%80%D1%8B%D1%81%D0%B0,encyclopedia,HTTP 200 при проверке 2026-09-26; только общая биология/ареал,true
wp:Чёрный_таракан,Википедия (ru): Чёрный таракан,https://ru.wikipedia.org/wiki/%D0%A7%D1%91%D1%80%D0%BD%D1%8B%D0%B9_%D1%82%D0%B0%D1%80%D0%B0%D0%BA%D0%B0%D0%BD,encyclopedia,HTTP 200 при проверке 2026-09-26; только общая биология/ареал,true
wp:Шершень_обыкновенный,Википедия (ru): Шершень обыкновенный,https://ru.wikipedia.org/wiki/%D0%A8%D0%B5%D1%80%D1%88%D0%B5%D0%BD%D1%8C_%D0%BE%D0%B1%D1%8B%D0%BA%D0%BD%D0%BE%D0%B2%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9,encyclopedia,HTTP 200 при проверке 2026-09-26; только общая биология/ареал,true
wp:Шмели,Википедия (ru): Шмели,https://ru.wikipedia.org/wiki/%D0%A8%D0%BC%D0%B5%D0%BB%D0%B8,encyclopedia,HTTP 200 при проверке 2026-09-26; только общая биология/ареал,true
